RUN=0 0 1 2 3 4 5 6 7 8 9 10
../../imagenes/baloons.pgm 0.220271 0.220271 0.220271 0.219648 0.205120 0.195559 0.192377 0.191450 0.191066 0.190992 0.190900 
../../imagenes/barbara.pgm 0.701526 0.701526 0.701509 0.699650 0.687876 0.671876 0.662654 0.659226 0.660479 0.662161 0.663770 
../../imagenes/bike.pgm 0.630647 0.630647 0.625256 0.611734 0.599138 0.589014 0.581952 0.578866 0.577159 0.577018 0.577124 
../../imagenes/faxballsL.pgm 0.211872 0.211872 0.211858 0.210490 0.198259 0.196393 0.195030 0.192626 0.191440 0.191428 0.191338 
../../imagenes/kodim07.pgm 0.545576 0.545576 0.545640 0.543776 0.535459 0.527939 0.522085 0.517330 0.516505 0.516202 0.516213 
../../imagenes/kodim20.pgm 0.488750 0.488750 0.486809 0.480023 0.472473 0.465930 0.461388 0.459929 0.457002 0.457891 0.458358 
../../imagenes/kodim24.pgm 0.673585 0.673585 0.672139 0.662115 0.650691 0.638844 0.627642 0.622581 0.619005 0.619040 0.619903 
../../imagenes/tools.pgm 0.746479 0.746479 0.739947 0.726457 0.713375 0.706334 0.704756 0.703215 0.703885 0.704744 0.705560 
../../imagenes/womanc.pgm 0.606714 0.606714 0.606627 0.605341 0.599303 0.587807 0.577850 0.577863 0.575798 0.575401 0.575363 

RUN=1 0 1 2 3 4 5 6 7 8 9 10
../../imagenes/baloons.pgm 0.062789 0.062789 0.062789 0.062825 0.062637 0.062506 0.062176 0.061669 0.061589 0.061407 0.061283 
../../imagenes/barbara.pgm 0.701940 0.701940 0.701984 0.700111 0.688292 0.672342 0.663095 0.659654 0.660930 0.662602 0.664185 
../../imagenes/bike.pgm 0.631694 0.631694 0.626453 0.613022 0.600549 0.590490 0.583494 0.580596 0.578782 0.578702 0.578806 
../../imagenes/faxballsL.pgm 0.162498 0.162498 0.162432 0.161901 0.151540 0.149828 0.148853 0.146690 0.145496 0.144897 0.144419 
../../imagenes/kodim07.pgm 0.549102 0.549102 0.548971 0.547053 0.538999 0.531810 0.526477 0.522198 0.520319 0.520086 0.520414 
../../imagenes/kodim20.pgm 0.475341 0.475341 0.474030 0.467953 0.460960 0.454454 0.450377 0.449729 0.447807 0.448809 0.449184 
../../imagenes/kodim24.pgm 0.652920 0.652920 0.651581 0.642808 0.632885 0.623443 0.614801 0.612491 0.611213 0.612977 0.614305 
../../imagenes/tools.pgm 0.745603 0.745603 0.739076 0.725721 0.712705 0.705763 0.704215 0.702741 0.703408 0.704287 0.705058 
../../imagenes/womanc.pgm 0.607400 0.607400 0.607394 0.606115 0.600112 0.588643 0.578696 0.578819 0.576806 0.576409 0.576367 

